152 1504083224 0,000000 0,600000 0,000000 6,000000 4,800000
152 1504083224 0,000000 0,200000 0,000000 0,000000 0,000000
152 1504083225 3,000000 0,800000 2,400000 2,400000 -20,200000
152 1504083226 1,500000 0,800000 3,600000 3,600000 -20,200000
152 1504083227 1,500000 0,800000 4,800000 4,800000 -20,200000
152 1504083228 1,500000 0,800000 6,000000 6,000000 -20,200000
152 1504083229 0,000000 1,600000 6,000000 6,000000 -20,200000
152 1504083230 0,000000 1,600000 6,000000 6,000000 -20,200000
152 1504083231 0,000000 1,600000 6,000000 6,000000 -20,200000
152 1504083232 0,000000 1,600000 6,000000 6,000000 -20,200000
152 1504083233 0,000000 1,600000 6,000000 6,000000 -20,200000
152 1504083234 0,428571 2,800000 7,200000 7,200000 -20,200000
152 1504083235 0,428571 2,800000 8,400000 8,400000 -20,200000
152 1504083236 0,428571 2,800000 9,600000 9,600000 -20,200000
152 1504083237 0,428571 2,800000 10,800000 10,800000 -20,200000
152 1504083238 0,428571 2,800000 12,000000 12,000000 -20,200000
152 1504083239 0,000000 4,400000 12,000000 12,000000 -20,200000
152 1504083240 0,000000 4,400000 12,000000 12,000000 -20,200000
152 1504083241 0,000000 4,400000 12,000000 12,000000 -20,200000
152 1504083242 0,000000 4,400000 12,000000 12,000000 -20,200000
152 1504083243 0,000000 4,400000 12,000000 12,000000 -20,200000
152 1504083244 0,000000 5,800000 12,000000 12,000000 -20,200000
152 1504083245 0,000000 5,800000 12,000000 12,000000 -20,200000
152 1504083246 0,000000 5,800000 12,000000 12,000000 -20,200000
152 1504083247 0,000000 5,800000 12,000000 12,000000 -20,200000
152 1504083248 0,000000 5,800000 12,000000 12,000000 -20,200000
152 1504083249 0,153846 7,800000 13,200000 13,200000 -20,200000
152 1504083250 0,153846 7,800000 14,400000 14,400000 -20,200000
152 1504083251 0,153846 7,800000 15,600000 15,600000 -20,200000
152 1504083252 0,153846 7,800000 16,800000 16,800000 -20,200000
152 1504083253 0,153846 7,800000 18,000000 18,000000 -20,200000
152 1504083254 0,000000 9,800000 18,000000 18,000000 -20,200000
